bbl,address,ownername,property_manager,yearalter,numfloors,unitstotal,total_gross_floor_area,office_sqft,% Leased,LL33 grade,Latest_ENERGY_STAR_Score,Latest_Target_ENERGY_STAR_Score,Estimated_Target_ENERGY_STAR_Score,Class,LandlordContact,GreenRating,neighborhood
1000090014,"17 State St, New York, NY 10004",RFR Realty,Servcorp,1987,42,96,575860,542515,100,B,79,85,,A,,,Financial District-Battery Park City
1000090029,"24 State St, New York, NY 10004",Rudin,RFR Realty,2018,35,59,835356,849807,100,D,52,,56,A,AJ Camhi (212) 308-0700 (p),,Financial District-Battery Park City
1000100014,"33 Whitehall St, New York, NY 10004",Broad Financial Center,CBRE,2004,30,29,365792,290751.458,84,B,82,,74,A,Edward Goldman (212) 984-8193 (p),,Midtown
1000100023,"1 Whitehall St, New York, NY 10004",Chetrit Group,Cushman & Wakefield,1989,21,41,321994,316494,100,A,90,,83,A,Paige Engeldrum (212) 841-7740 (p),,Financial District-Battery Park City
1000130001,"1 Broadway, New York, NY 10004",Rockwood,Cushman & Wakefield,2021,12,1,230911,180000,100,B,72,,83,A,,,Financial District-Battery Park City
1000130005,"11 Broadway, New York, NY 10004",KF Braun,KF Braun,2012,22,126,434220,411720,62.8,A,95,,88,B,Mendy Braun (212) 349-2154 (p),,Financial District-Battery Park City
1000130027,"25 Broadway, New York, NY 10004",ACTA Realty,CBRE,2010,23,12,809401,767690,89.1,N (exempt),88,,81,A,Richard Levine (212) 618-7060 (p),,Financial District
1000160260,"200 W St, New York, NY 10282",Goldman Sachs Group,CBRE,2009,45,1,2157862,1834182.7,100,N (exempt),77,85,,A,Stephen Sjurset (212) 984-7105 (p),,Midtown
1000200004,"39 Broadway, New York, NY 10006",Cammeby's,The Lawrence Group,2005,38,87,447442,447442,77.7,A,89,90,,B,David Ofman (212) 413-8427 (p),,Financial District-Battery Park City
1000200009,"45 Broadway, New York, NY 10006",Cammeby's,The Lawrence Group,1983,31,71,394763,368305,87.7,B,81,75,,A,Brian Siegel (212) 413-8425 (p),,Financial District-Battery Park City
1000200016,"55 Broadway, New York, NY 10006",Vornado Realty Trust,CBRE,1983,31,60,354072,298081,86.9,B,81,50,,A,Bradley Gerla (212) 984-7153 (p),,Financial District-Battery Park City
1000210001,"61 Broadway, New York, NY 10006",RXR Realty,Newmark,1988,33,102,709506,633379,59.8,A,92,,84,A,Hal Stein (212) 233-8185 (p),,Financial District-Battery Park City
1000210004,"65 Broadway, New York, NY 10006",Chetrit Group,Ramsco Realty,2015,21,170,335184,330184,100,F,80,,81,B,Ariel Chetrit (917) 535-2979 (p),,Financial District-Battery Park City
1000220013,"26 Broadway, New York, NY 10004",Chetrit Group,Newmark,1998,32,49,200000,856889,80.2,C,90,75,,A,Alexander Kesseler (212) 372-0766 (p),,Financial District-Battery Park City
1000220017,"32 Broadway, New York, NY 10004",Vornado Realty Trust,The Lawrence Group,2017,18,51,145494,134940,75,D,45,,64,A,Brian Siegel (212) 413-8425 (p),,Financial District-Battery Park City
