bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Office_Gas_Usage_Current_Jan_kBtu,Office_Gas_Cost_Current_Jan_USD,Office_Gas_Usage_Current_Feb_kBtu,Office_Gas_Cost_Current_Feb_USD,Office_Gas_Usage_Current_Mar_kBtu,Office_Gas_Cost_Current_Mar_USD,Office_Gas_Usage_Current_Apr_kBtu,Office_Gas_Cost_Current_Apr_USD,Office_Gas_Usage_Current_May_kBtu,Office_Gas_Cost_Current_May_USD,Office_Gas_Usage_Current_Jun_kBtu,Office_Gas_Cost_Current_Jun_USD,Office_Gas_Usage_Current_Jul_kBtu,Office_Gas_Cost_Current_Jul_USD,Office_Gas_Usage_Current_Aug_kBtu,Office_Gas_Cost_Current_Aug_USD,Office_Gas_Usage_Current_Sep_kBtu,Office_Gas_Cost_Current_Sep_USD,Office_Gas_Usage_Current_Oct_kBtu,Office_Gas_Cost_Current_Oct_USD,Office_Gas_Usage_Current_Nov_kBtu,Office_Gas_Cost_Current_Nov_USD,Office_Gas_Usage_Current_Dec_kBtu,Office_Gas_Cost_Current_Dec_USD,Office_Steam_Usage_Current_Jan_kBtu,Office_Steam_Cost_Current_Jan_USD,Office_Steam_Usage_Current_Feb_kBtu,Office_Steam_Cost_Current_Feb_USD,Office_Steam_Usage_Current_Mar_kBtu,Office_Steam_Cost_Current_Mar_USD,Office_Steam_Usage_Current_Apr_kBtu,Office_Steam_Cost_Current_Apr_USD,Office_Steam_Usage_Current_May_kBtu,Office_Steam_Cost_Current_May_USD,Office_Steam_Usage_Current_Jun_kBtu,Office_Steam_Cost_Current_Jun_USD,Office_Steam_Usage_Current_Jul_kBtu,Office_Steam_Cost_Current_Jul_USD,Office_Steam_Usage_Current_Aug_kBtu,Office_Steam_Cost_Current_Aug_USD,Office_Steam_Usage_Current_Sep_kBtu,Office_Steam_Cost_Current_Sep_USD,Office_Steam_Usage_Current_Oct_kBtu,Office_Steam_Cost_Current_Oct_USD,Office_Steam_Usage_Current_Nov_kBtu,Office_Steam_Cost_Current_Nov_USD,Office_Steam_Usage_Current_Dec_kBtu,Office_Steam_Cost_Current_Dec_USD,Office_Elec_Usage_Current_Jan_kBtu,Office_Elec_Cost_Current_Jan_USD,Office_Elec_Usage_Current_Feb_kBtu,Office_Elec_Cost_Current_Feb_USD,Office_Elec_Usage_Current_Mar_kBtu,Office_Elec_Cost_Current_Mar_USD,Office_Elec_Usage_Current_Apr_kBtu,Office_Elec_Cost_Current_Apr_USD,Office_Elec_Usage_Current_May_kBtu,Office_Elec_Cost_Current_May_USD,Office_Elec_Usage_Current_Jun_kBtu,Office_Elec_Cost_Current_Jun_USD,Office_Elec_Usage_Current_Jul_kBtu,Office_Elec_Cost_Current_Jul_USD,Office_Elec_Usage_Current_Aug_kBtu,Office_Elec_Cost_Current_Aug_USD,Office_Elec_Usage_Current_Sep_kBtu,Office_Elec_Cost_Current_Sep_USD,Office_Elec_Usage_Current_Oct_kBtu,Office_Elec_Cost_Current_Oct_USD,Office_Elec_Usage_Current_Nov_kBtu,Office_Elec_Cost_Current_Nov_USD,Office_Elec_Usage_Current_Dec_kBtu,Office_Elec_Cost_Current_Dec_USD
1000090014,"17 State St, New York, NY 10004",542515,575860,0.942,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2099433,119565.7,1546415,88070.54,1125191,64081.23,693263,39482.31,139771,7960.16,4996,284.53,2190,124.72,0,,67,3.82,159420,9079.2,909504,51797.55,1511165,86063,1729384,56651.43,1638936,56324.27,1765757,54733.63,1508675,47290.18,1583508,52875.71,1710710,65827.27,1971412,76468.5,1874509,74656.43,1681321,66325.49,1579708,51140.96,1609001,53580.87,1670630,51917.59
1000090029,"24 State St, New York, NY 10004",849807,835356,1,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4493238,160687.82,3808258,136191.47,2809884,100487.48,1671120,59762.83,2047683,73229.53,3168637,113317.25,4115817,147190.44,3954437,141419.15,3075214,109976.25,2344074,83829.11,2713496,97040.43,3528474,126185.8,3015631,98413.51,2766468,94728.43,3010817,92973.46,2879293,89797.29,2985666,99251.8,2983438,114428.11,3039317,117619.48,3097332,123030.89,2799834,110115.45,2719127,87666.42,2848585,94473.53,2846916,88119.51
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792,0.795,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1142879,65088.59,945459,53845.24,668019,38044.63,234802,13372.31,39239,2234.72,96,5.47,38,2.16,0,,0,,105596,6013.84,515395,29352.48,870494,49575.87,1307183,42943.34,1231354,42441.87,1413692,43920.57,1238520,38911.84,1223560,40970.5,1244775,48034.91,1368444,53233.54,1367310,54591.81,1216011,48108.53,1112878,36176.16,1098472,36739.02,1099946,34353.95
1000100023,"1 Whitehall St, New York, NY 10004",316494,321994,0.983,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1796541,102315.57,1601993,91235.78,1164892,66342.26,467890,26647,436365,24851.61,886398,50481.63,1257856,71636.69,1102515,62789.8,688107,39188.67,513658,29253.55,975799,55573.14,1474710,83986.83,584352,19474.34,580050,20258.22,619994,19543.53,547209,17472.15,636800,21563.53,701913,27305,771077,30214.42,787596,31658.53,674104,26892.78,644994,21177.57,593786,20089.92,588412,18610.74
1000130001,"1 Broadway, New York, NY 10004",180000,230911,0.78,SC9 Rate I (Standard),567,16.85,258,9.03,259,9.05,522,15.71,76,4.42,0,,0,,3,2.58,2,2.55,0,,11,2.78,312,10.39,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,611540,20357.08,564818,19739.41,608432,19188.42,492494,15775.26,449515,15369.12,454639,17862.5,554519,21869.51,561265,22704.95,547047,21918.48,468988,15535.48,487301,16577.08,567880,17978.84
1000130005,"11 Broadway, New York, NY 10004",411720,434220,0.948,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2504602,142640.65,2203223,125476.69,1882060,107186,739885,42137.5,51162,2913.75,69,3.93,53,3.02,4354,247.97,2685,152.91,251959,14349.42,1405086,80021.65,2277232,129691.6,650977,21637.53,593837,20727.81,677957,21323.76,740425,23464.37,835518,28136.09,976704,37798.26,1176393,45832.99,1235956,49395.49,1061757,42069.46,810582,26485.69,602509,20377.68,615949,19458.23
1000130027,"25 Broadway, New York, NY 10004",767690,809401,0.948,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3649441,130511.83,3406145,121811.05,2919553,104409.47,1946369,69606.33,973184,34803.15,486592,17401.57,486592,17401.57,486592,17401.57,729888,26102.36,1459777,52204.76,2432961,87007.9,3406145,121811.05,4647015,151381.56,4388848,149987.29,4130680,127368.09,3872513,120600.12,3872513,128584.09,4130680,158237.09,4647015,179571.01,4647015,184335.81,4130680,162218.29,4130680,132915.47,4388848,145285.3,4647015,143520.2
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862,0.85,SC9 Rate II (Large TOD),180200,4561.56,184515,4670.73,215618,5457.64,167518,4240.71,187944,4757.48,167747,4246.5,142668,3612,167296,4235.09,172153,4357.97,179127,4534.41,196239,4967.35,207714,5257.66,8482951,303368.52,11097107,396856.34,7751901,277224.6,3978347,142274.22,2668822,95442.8,900758,32213.04,460986,16485.85,475672,17011.05,485463,17361.2,552367,19753.83,2423234,86660.04,6543549,234011.34,8582567,279161.72,8598343,293364.26,9177603,282375.48,8361894,259829.73,9434032,312530.22,9228231,352893.96,11617114,448158.95,9579341,379456.93,9027723,353938.32,8264661,265435.26,8160657,269713.59,7746784,238920.13
1000200004,"39 Broadway, New York, NY 10006",447442,447442,1,SC9 Rate I (Standard),18234,463.82,18234,463.82,21808,554.24,18855,479.53,19321,491.32,20254,514.93,17923,455.95,19062,484.77,20910,531.52,18855,479.53,17716,450.71,20047,509.69,3192814,181835.3,2682070,152747.71,1698823,96750.39,809132,46081.22,390097,22216.58,14915,849.43,16294,927.97,54696,3115.02,317458,18079.69,996153,56732.33,1836082,104567.48,2413112,137430.16,927684,30621.7,868340,30077.48,980611,30619.25,914110,28850.88,972739,32674.65,1047437,40499.3,1299814,50588.93,1246695,49820.33,1059662,41987.44,923042,30090.73,881094,29567.93,925934,28998.48
1000200009,"45 Broadway, New York, NY 10006",368305,394763,0.933,SC9 Rate I (Standard),16075,409.2,22773,578.66,37475,950.62,20620,524.19,33144,841.04,20704,526.31,15330,390.35,17099,435.1,13146,335.09,15359,391.08,13648,347.79,13874,353.51,1289264,73425.42,1080775,61551.68,745222,42441.45,370260,21086.83,121652,6928.25,457,26.03,0,,0,,0,,161748,9211.78,627372,35729.73,956532,54475.86,1263398,41521.72,1198797,41332.97,1317845,40976.8,1227346,38565.3,1325376,44338.05,1341514,51729.02,1492240,58003.94,1484884,59243,1328941,52529.76,1240791,40276.57,1273711,42519.98,1254725,39117.5
